,Hace 3 dias,Hace 4 dias,Hace 6 dias,Hace 8 dias,Hace 9 dias,Hace 11 dias,Hace 12 dias,Hace 14 dias,Hace 16 dias,Hace 17 dias,Hace 19 dias,Hace 20 dias,Hace 22 dias,Hace 24 dias,Hace 25 dias,Hace 27 dias,Hace 28 dias,Hace 30 dias,Hace 32 dias,Hace 33 dias,Hace 35 dias,Hace 36 dias,y
646,2.9143333333333334,2.914,2.9137333333333335,2.9137142857142857,2.914,2.9148,2.9151515151515155,2.915179487179488,2.9147555555555558,2.914541666666667,2.914370370370371,2.9143157894736844,2.9142222222222225,2.914144927536232,2.9141111111111115,2.9140512820512816,2.913925925925925,2.9132873563218378,2.9120215053763427,2.9112083333333323,2.909372549019607,2.908399999999999,2.9146666666666667
647,2.9146666666666667,2.914444444444445,2.914,2.9138095238095234,2.9138333333333333,2.9144,2.9147878787878785,2.91523076923077,2.914977777777778,2.91475,2.914444444444445,2.9143859649122814,2.914285714285715,2.914202898550725,2.9141666666666666,2.9141025641025635,2.9140740740740734,2.9137011494252865,2.91279569892473,2.912104166666665,2.910450980392156,2.9095238095238085,2.9146666666666663
648,2.9146666666666667,2.9146666666666667,2.9142666666666672,2.914,2.9139166666666663,2.914133333333333,2.9144242424242424,2.915076923076924,2.915111111111112,2.9149583333333338,2.9145555555555562,2.9144561403508775,2.9143492063492067,2.9142608695652177,2.914222222222222,2.9141538461538463,2.9141234567901226,2.913977011494252,2.91337634408602,2.9128541666666656,2.911411764705881,2.9105714285714277,2.916
649,2.9146666666666663,2.9146666666666667,2.9145333333333334,2.914190476190476,2.914083333333333,2.9139999999999997,2.914181818181818,2.914769230769231,2.9151555555555566,2.9150833333333344,2.9147407407407413,2.9145614035087726,2.9144126984126992,2.9143188405797105,2.914277777777778,2.914205128205128,2.914172839506173,2.9141149425287347,2.9137634408602135,2.913416666666665,2.9122549019607824,2.9115047619047605,2.9200000000000004
650,2.915333333333333,2.915111111111111,2.914933333333333,2.9145714285714286,2.9144166666666664,2.9141999999999997,2.914181818181818,2.9145641025641025,2.9151111111111114,2.915208333333334,2.9150000000000005,2.91480701754386,2.914539682539683,2.914434782608696,2.914388888888889,2.914307692307692,2.914271604938271,2.914206896551723,2.914064516129031,2.913833333333332,2.912999999999999,2.912361904761903,2.9253333333333336
651,2.918,2.9168888888888884,2.916,2.9155238095238096,2.9152500000000003,2.9148666666666667,2.9147272727272724,2.9147692307692306,2.9152,2.915416666666667,2.9154074074074083,2.9152631578947372,2.9148888888888895,2.9147246376811604,2.914666666666667,2.9145641025641025,2.914518518518518,2.9144367816091954,2.9143655913978486,2.9142499999999987,2.9136862745098027,2.913199999999999,2.9320000000000004
652,2.922666666666667,2.920444444444444,2.9181333333333335,2.9171428571428573,2.9167500000000004,2.9160666666666666,2.9158181818181816,2.9154871794871795,2.9156444444444447,2.9158333333333335,2.9160370370370376,2.9159298245614043,2.9155555555555557,2.9152463768115946,2.9151666666666673,2.915025641025641,2.9149629629629628,2.914850574712643,2.914752688172042,2.914708333333332,2.9143529411764693,2.914019047619046,2.9426666666666668
653,2.928666666666667,2.9257777777777783,2.9215999999999998,2.919619047619048,2.9190000000000005,2.917933333333334,2.9175151515151514,2.916871794871795,2.9166222222222222,2.916666666666667,2.9168888888888898,2.916877192982457,2.916539682539683,2.9160869565217395,2.915944444444445,2.91574358974359,2.915654320987654,2.915494252873563,2.915354838709677,2.9152916666666657,2.915098039215685,2.9148571428571417,2.9546666666666668
654,2.9373333333333336,2.9333333333333336,2.9272,2.923619047619048,2.9225000000000003,2.9208666666666674,2.9201818181818187,2.9191282051282053,2.9184,2.91825,2.9182222222222225,2.9182456140350883,2.917968253968255,2.917449275362319,2.9171944444444446,2.9168717948717955,2.916740740740741,2.9165057471264366,2.9163010752688168,2.916208333333333,2.9160392156862733,2.915885714285713,2.9633333333333334
655,2.948666666666667,2.9431111111111115,2.934933333333334,2.929333333333333,2.9275,2.924933333333334,2.9239393939393947,2.9223076923076925,2.921111111111111,2.920666666666667,2.9202222222222227,2.9201403508771935,2.9199047619047627,2.919333333333334,2.9190000000000005,2.9184615384615387,2.918271604938272,2.9179310344827587,2.9176344086021504,2.9174999999999995,2.9172549019607836,2.9171428571428564,2.9699999999999998
